bauxite_tonnage,excavator_bucket_m3,dumper_bucket_m3,fill_factor_excavator,fill_factor_dumper,working_days,shifts_per_day,hours_per_shift,total_hours_per_year,haul_distance_km,loaded_speed_kmph,empty_speed_kmph,trip_time_min,eff_machine_excavator,eff_machine_dumper,eff_human,eff_condition,excavators_bauxite,dumpers_bauxite
9948865,9.177726064,91.53553486,0.816550729,0.669514896,270,3,7,5670,3.339626638,29.26094938,13.3655986,26.83999344,0.804762872,0.917786704,0.969133078,0.966125927,1.510506781,7.452170028
9324167,2.073576413,23.62508114,0.831750885,0.502530792,305,3,7,6405,1.672807928,31.36537664,19.4899635,13.3497286,0.748242415,0.864620137,0.907568559,0.895588378,6.746568388,19.41032807
8072148,7.767519394,41.18516731,0.771270115,0.754407038,317,3,8,7608,2.460226459,37.18296363,27.37577462,14.36204988,0.890899785,0.775138546,0.876961254,0.993667857,1.108957258,6.050708754
5014484,5.940141551,31.59565396,0.861226058,0.640386181,299,2,8,4784,3.861785731,37.44593171,24.80634801,20.52841793,0.70729479,0.893641689,0.753133204,0.982137575,1.90375953,13.40702658
5509079,9.733238552,96.90769805,0.926504728,0.647224446,298,2,7,4172,2.670403787,38.08464322,37.84119187,13.44117812,0.815529319,0.955341001,0.795076602,0.750847824,1.462058544,4.134835959
3445101,9.920430801,26.9071413,0.759164826,0.938686536,293,3,8,7032,1.880775533,34.28083466,42.40453579,10.95301581,0.922230585,0.909104722,0.910745225,0.807847345,0.466043342,2.646959511
3797079,2.041478902,68.37102527,0.597136977,0.535470458,282,3,7,5922,2.736594687,23.15422369,36.88104541,16.54342655,0.819035148,0.715230559,0.965985145,0.708285032,4.562646957,4.933933244
3118834,9.854727106,86.30934768,0.930202309,0.62512568,294,3,8,7056,3.483607011,18.14628747,48.61007322,20.81827047,0.71165042,0.790979654,0.861124728,0.797995373,0.479307336,2.614810183
4004646,3.555040272,49.96508193,0.849756105,0.569176546,273,3,6,4914,2.196462704,23.00562213,39.76170572,14.04294178,0.739823627,0.99086106,0.914378531,0.712320255,2.721423921,5.196107808
6695961,2.646983733,51.40673037,0.84424995,0.529096798,306,3,6,5508,1.548597991,38.03841992,35.53082375,10.05776316,0.974564118,0.832705669,0.771936208,0.728161987,4.827389961,8.003557888
7601020,5.485383189,77.05334191,0.523858064,0.783018605,308,3,8,7392,1.282470965,19.34239928,49.18042114,10.54282842,0.747593934,0.736049394,0.8025639,0.72753972,3.984948948,3.484006524
9451652,8.106915384,83.58760305,0.673152161,0.732336906,281,3,7,5901,1.78268087,10.45913621,47.33745232,17.48608709,0.894932105,0.714417677,0.984743719,0.966004116,1.675932362,5.610303009
7466271,7.471710155,67.34734897,0.971945802,0.972125799,270,3,6,4860,2.720101125,13.8550106,42.44816707,20.62440194,0.96015968,0.890921079,0.940284788,0.903150503,1.261182571,5.330474269
4404330,8.56341475,70.37620561,0.60334218,0.636980564,306,3,8,7344,2.009662645,29.67167906,25.41586484,13.80807096,0.764376736,0.813177725,0.71168894,0.885476165,1.17137921,3.003961437
6353597,5.968299634,73.89568049,0.674168302,0.968324076,303,2,6,3636,2.270412827,27.05560851,33.03698301,14.15839413,0.711755898,0.82538381,0.990274165,0.864391565,3.465096599,4.078184258
8063778,4.000131594,64.34624105,0.933558304,0.780933346,317,3,7,6657,2.133186659,26.02982421,29.86244763,14.2031232,0.771579058,0.903953434,0.921972628,0.771470846,2.873173493,4.437535695
7063960,2.799879097,19.54625022,0.979270748,0.923571572,291,2,8,4656,2.479076973,12.49853234,13.66816589,27.78352556,0.806471557,0.987040266,0.903030971,0.844756285,4.372256328,25.84273119
6772811,3.70182316,95.42653614,0.890648025,0.556732301,294,3,8,7056,3.21110667,26.3774731,38.23325936,17.34343788,0.979278732,0.992274463,0.998779373,0.716761346,2.01870887,3.675977063
4776203,6.945744507,23.59542747,0.542053403,0.850484566,278,3,7,5838,1.254513142,39.59918736,24.97083183,9.915164958,0.721828902,0.946558018,0.911872668,0.724404634,2.215356731,5.387415121
9448960,9.577988619,98.81009042,0.876689093,0.688129793,291,3,6,5238,3.719063155,13.33592447,29.70500417,29.24452568,0.725050215,0.933144075,0.867521275,0.827266603,2.006967929,9.65463513
9820492,2.450426205,25.09952288,0.558763123,0.824605151,319,3,7,6699,1.857136259,36.05797385,18.94383354,13.97227946,0.923813464,0.87501063,0.988651765,0.812461174,7.013894071,11.73379471
4425541,2.345279296,90.74716466,0.763850555,0.996482398,313,2,6,3756,2.888195914,30.87246067,28.18164259,16.76225066,0.722138969,0.866156285,0.990790761,0.856929353,5.214655419,2.474947236
5598260,2.363571043,38.88187112,0.975205742,0.945131892,272,3,8,6528,2.391095215,20.60056684,33.34624447,16.26646832,0.836697026,0.886039779,0.783214355,0.756436348,3.648566811,6.026138682
9712027,7.585293712,60.56819114,0.654763808,0.90689751,306,2,8,4896,3.84939974,31.77158525,34.53660784,18.95702616,0.905419352,0.748785082,0.973278155,0.946761173,2.327125283,8.268372312
4178049,8.928511116,18.84358696,0.513183487,0.688231683,279,3,7,5859,2.14267257,39.09743193,43.68475693,11.23111562,0.943165999,0.996182839,0.745125067,0.878239215,1.225755149,7.894277527
4881548,5.318556019,38.23960111,0.528187748,0.932361188,302,3,6,5436,3.306962246,38.3429719,43.98589563,14.68575363,0.943870303,0.999915302,0.998991051,0.866629512,1.901622069,3.560715553
8387408,3.033275321,96.09433732,0.803087317,0.614321403,290,3,6,5220,3.014719587,25.60923103,40.89273567,16.48655929,0.901510205,0.885438472,0.807448815,0.734067278,6.000627959,7.125303244
5715514,6.41525471,62.67972758,0.938326801,0.701741433,319,3,6,5742,3.112239304,16.38892485,15.45485902,28.47650211,0.740204569,0.708634803,0.926541177,0.886092865,1.32270776,9.230534262
6748603,6.719341495,48.34074383,0.718737461,0.952079347,303,3,7,6363,2.866260101,35.87091126,47.98082495,13.3785485,0.80447664,0.854196847,0.935095904,0.818962835,1.732833058,3.927488513
5530179,5.936930345,36.95077301,0.729567878,0.990016288,279,3,6,5022,1.227589984,13.86639166,15.12183356,15.18259094,0.847785428,0.798625483,0.890020256,0.772043686,2.121498145,6.940269376
9494302,9.174307279,55.28673942,0.833778869,0.586159936,280,3,6,5040,1.531031453,12.66107601,14.82543484,18.45169217,0.757686706,0.712260585,0.750680519,0.783577102,2.686070071,21.33411136
5245131,3.029987186,43.05845863,0.660791382,0.546145293,295,3,7,6195,2.131857896,10.07785073,44.73204428,20.55184092,0.844343618,0.906335415,0.853497104,0.747093305,3.818117529,10.66969466
5287623,9.890055967,60.61020491,0.96202088,0.618058267,318,2,6,3816,1.443217276,13.99350786,37.48662022,13.49805829,0.927986623,0.859379726,0.916154818,0.718702409,1.158629899,7.35298913
5966422,2.243777222,88.71327339,0.677073335,0.698581916,315,2,8,5040,3.522129958,12.67612986,31.41342256,28.39862735,0.73146075,0.921221562,0.754685164,0.869189528,7.894637788,7.480819887
6412504,7.432818553,82.07955528,0.749221099,0.543460144,286,2,6,3432,1.382740908,18.51327717,24.52329186,12.86443692,0.861131963,0.876052335,0.923631842,0.829497864,2.472114086,6.69025992
8952793,9.89212199,66.49085965,0.618613396,0.550891236,303,2,8,4848,1.855285506,15.20120786,45.87061699,14.74967682,0.745857742,0.773787319,0.748204412,0.755970107,3.477297166,14.15868382
3668406,5.283174616,98.50218244,0.556019451,0.6989278,272,2,8,4352,1.512662762,30.0592966,47.17503957,9.943251395,0.99084113,0.959652138,0.945121621,0.777370848,1.916104241,1.438890452
3525134,4.239832749,80.40689932,0.593521874,0.661839618,280,3,7,5880,2.831860127,18.6589166,33.24952886,19.21638423,0.827630932,0.852283114,0.77272292,0.734451047,2.465613706,3.729684742
3282762,6.75106478,46.38459093,0.727133986,0.774301559,305,2,8,4880,1.41647432,10.08132698,14.66784257,19.22448808,0.864676594,0.760519139,0.905371464,0.726360433,1.171482269,5.999569934
5190222,8.3543156,24.06943626,0.92536373,0.872987263,293,3,8,7032,2.137685755,37.79348271,38.86386203,11.69400474,0.822555488,0.97988142,0.997278843,0.761500543,0.742963096,4.599969158
8238331,8.362138495,32.1383222,0.581827971,0.582132899,298,3,8,7152,3.631601622,21.77335322,42.66397758,20.11472791,0.944372416,0.899559166,0.856919627,0.807649145,1.760877748,16.5770307
6830375,6.992812353,60.88139026,0.719372338,0.788743135,283,3,8,6792,1.687076173,26.28547932,27.26112573,12.56411628,0.806608736,0.817444633,0.859557244,0.719985734,1.946772458,4.334314047
6369538,3.114176581,82.49214109,0.810036378,0.766730546,276,2,7,3864,1.745467419,32.31838878,11.34129739,17.47473036,0.968167775,0.936579163,0.745502464,0.79351662,5.546293802,6.850071562
9572629,9.014125094,44.07694864,0.910628652,0.555315868,271,3,6,4878,1.449752282,16.87754186,38.89010274,12.39058931,0.953935688,0.738246599,0.819186187,0.93918861,1.583454373,14.57510358
8525633,7.551587556,61.13157768,0.625899529,0.672847997,296,2,8,4736,2.386017411,38.41850019,16.13405612,17.59957788,0.754479315,0.972535168,0.875017538,0.820255425,3.418962945,9.195644921
4255564,6.891633883,16.53936562,0.936061954,0.966059141,309,3,7,6489,1.457617129,27.28865081,34.26860186,10.75699023,0.869539955,0.908995247,0.976749814,0.91217159,0.637879561,4.543021857
4299445,9.474936118,93.6733236,0.725419686,0.556619023,320,2,7,4480,3.609689086,25.56514171,33.65101743,19.90784531,0.99545236,0.951669426,0.737398804,0.976252565,0.947150967,4.457103169
5427540,4.681577933,83.24254313,0.502316012,0.666749586,316,2,6,3792,2.040859606,32.12503744,28.08871764,13.17117548,0.819450608,0.861218681,0.975956685,0.803903798,4.601967713,4.189110671
9857658,3.985811542,64.0987161,0.582756659,0.51693958,313,2,8,5008,1.638042353,25.45521047,49.02165263,10.86587917,0.793441951,0.934148712,0.783276152,0.766029164,8.652978052,9.596827922
3019816,8.885056143,60.48092611,0.592231436,0.649797956,318,3,7,6678,2.048160997,24.04695485,34.99903948,13.62163373,0.792981078,0.819195435,0.828036672,0.939934607,0.676874179,2.048568601
6319260,2.525669115,80.91984742,0.726644417,0.762195135,299,3,8,7176,1.545784391,35.85356863,47.84461849,9.525335001,0.832228824,0.820228918,0.867892099,0.746572074,4.325543843,2.132499937
4127199,7.151996346,49.74240454,0.512693178,0.578076299,279,3,8,6696,1.69322439,30.15678231,10.78842151,17.7857408,0.914791669,0.897677183,0.708128798,0.766591649,1.645478263,6.519618936
5546741,9.09968386,62.32133471,0.860406548,0.902657484,316,2,8,5056,3.833229177,14.23245546,26.25569233,29.91957534,0.996618635,0.880959221,0.942055045,0.988794796,0.733710787,5.925254533
7241361,7.887236906,87.09088811,0.561388445,0.938222038,276,3,8,6624,2.007597571,34.75321994,24.52236849,13.37811511,0.892877669,0.911183841,0.973187201,0.887428381,1.556414986,1.895393977
7402294,4.761537159,80.77593447,0.681378947,0.93053401,281,3,6,5058,2.69732986,39.56101937,28.84261811,14.70202421,0.765853158,0.99236418,0.933927632,0.734271378,4.175147589,3.505324648
5003679,6.099661247,78.04339026,0.849422927,0.701275022,286,3,8,6864,3.701716904,30.73665573,37.32735426,18.17613886,0.765406932,0.89351625,0.82651118,0.739682863,1.461609433,3.693272131
4366853,8.520435427,57.33771405,0.5335877,0.702624044,287,3,6,5166,1.791051408,17.9949518,39.28738314,13.70715397,0.849239468,0.916060774,0.731973619,0.742005562,1.959518465,4.817147644
6138145,5.954190801,63.73002215,0.919053482,0.702190751,281,2,6,3372,1.553112762,12.71010882,40.83943702,14.61348859,0.931273413,0.826610818,0.806161413,0.987588153,2.180954024,7.527037839
5678932,4.845381732,76.11890194,0.648560858,0.78320232,280,3,8,6720,1.644821136,10.93549405,20.49056177,18.84100202,0.842815121,0.89910135,0.981048922,0.919771629,1.718902402,2.743306558
8703394,9.641890502,28.14713198,0.811666275,0.737118654,312,2,7,4368,2.794858175,23.79044538,13.03733641,24.91109486,0.80331512,0.805462048,0.823838065,0.911477665,2.051766994,32.96196279
9843889,4.177161098,65.16960668,0.680486948,0.545791037,306,3,8,7344,1.555398787,26.25702842,44.91783344,10.63190427,0.975194073,0.741045589,0.985071206,0.833801732,2.861851485,5.485509962
4191902,7.792826634,69.16468428,0.9902884,0.951681906,290,2,8,4640,1.132496313,27.64791271,49.97413998,8.817380863,0.893999476,0.907952563,0.715478742,0.900975239,0.987472767,1.723068463
7806425,4.502838852,25.2444192,0.865511836,0.596299514,290,3,7,6090,1.164647844,23.65431055,30.89738304,10.21581434,0.734584606,0.826528798,0.938602551,0.923519364,2.510969695,10.11838219
3066150,4.917577996,62.65756149,0.740530942,0.942499178,286,3,8,6864,3.411930938,26.15204471,36.466207,18.44176125,0.85907954,0.832309649,0.821345635,0.871728328,0.969430581,1.950701243
9561164,6.926905505,34.80155535,0.512200391,0.935049437,287,2,6,3444,3.396349707,39.93802332,24.02847262,18.58324333,0.706380823,0.962410502,0.85868114,0.98172031,6.387713125,16.28450689
9714301,5.839004962,68.33796437,0.936838557,0.992041735,318,2,7,4452,1.716331437,13.31422339,24.18488631,16.99260349,0.930482024,0.825330035,0.826407101,0.92127469,2.73714106,7.253243654
3556701,3.868862008,18.57792112,0.508936967,0.993861195,319,3,7,6699,3.849883552,33.59035043,13.57644009,28.89102195,0.82833194,0.815297994,0.903894185,0.765476166,2.287030815,12.2724296
9722245,9.557856178,54.72912846,0.806705695,0.583516973,308,3,8,7392,2.823210385,25.38065533,19.22679247,20.48432218,0.997350588,0.76950151,0.982819532,0.894893995,0.94530361,10.38766847
6207393,9.658162104,85.22748414,0.900384844,0.814888961,295,2,6,3540,1.780700104,25.45743773,29.64745363,12.8006375,0.764897207,0.85547811,0.879182222,0.85750945,1.699800585,4.175913709
4039504,3.795524575,34.02449726,0.768487211,0.796469967,293,2,8,4688,1.388544764,36.6624424,48.22605993,8.9999709,0.874025862,0.727446051,0.963238259,0.779680013,2.187726998,4.365040338
6433803,7.241935845,61.8228765,0.54349338,0.704226607,311,2,8,4976,1.243138648,16.60549606,37.33035055,11.48984608,0.811806555,0.777926135,0.917026034,0.848762721,2.527280743,4.696262791
8329868,5.844692619,65.3546617,0.912340483,0.673904604,286,3,6,5148,3.392278065,29.75355504,44.02326916,16.46414043,0.903404846,0.869719589,0.780108481,0.963588996,2.172137234,7.710034462
3458298,8.696106627,74.28507424,0.840070386,0.809305689,317,2,6,3804,1.087741849,34.77450252,15.1547947,11.18331766,0.925814992,0.747581532,0.964261228,0.961553058,0.704733237,2.033155722
7872554,2.008960892,62.27544748,0.878317902,0.629344165,299,2,8,4784,1.34753157,21.30086086,10.36289619,16.59776596,0.757939859,0.725229467,0.797930073,0.867953294,8.636561548,11.56248467
4374572,4.266743586,16.56635609,0.716120392,0.920060751,304,3,7,6384,1.521260426,33.12562326,47.89191553,9.661305826,0.817645363,0.753849197,0.92610965,0.936642095,1.537073353,5.535198746
4554623,7.668576037,55.25378052,0.52896023,0.537347209,286,3,7,6006,2.94272093,27.83187578,25.34449042,18.31045631,0.955724398,0.997044512,0.902815677,0.833787492,1.263216429,5.19276917
8038108,4.974668234,84.59677969,0.626254375,0.50051474,280,2,7,3920,3.562629323,25.81072289,43.03683063,18.24859889,0.747681485,0.840561825,0.98329109,0.730658086,5.956285379,12.19493206
9440010,7.443994417,70.63345321,0.636629763,0.975431781,301,3,8,7224,2.915577843,21.92783194,20.96860809,21.32043937,0.745317368,0.82970044,0.983084776,0.825918195,2.214970985,5.00210675
9681986,3.839636847,33.11389984,0.515567041,0.825833413,270,3,7,5670,1.556576547,36.05869504,41.06387411,9.864444987,0.810557903,0.959307475,0.841962972,0.990458028,6.203382041,6.416277253
8972558,8.088191928,68.22872734,0.565622439,0.51626309,296,3,7,6216,1.351924567,13.75557377,37.42261149,13.06446927,0.976254354,0.884995094,0.938961187,0.844456705,1.981411708,6.357868699
5655971,3.286603753,70.37915468,0.662962732,0.795131969,278,3,6,5004,3.041369879,21.86635252,48.98799407,17.07038121,0.829974025,0.995305422,0.744874193,0.839379579,4.859405389,4.617117088
8087397,8.056474141,95.97513423,0.953909326,0.862142654,301,2,6,3612,1.055102911,24.47069145,18.4139832,11.02496055,0.924748492,0.743776622,0.730837721,0.871271351,2.405173645,5.249307889
4346208,4.611690466,59.00548969,0.54393325,0.675313466,279,3,7,5859,2.702622545,30.68394907,42.02346796,14.14349474,0.709960933,0.723573549,0.819076983,0.739814726,3.341447598,5.004195769
7000737,9.612399795,25.55869717,0.948110651,0.797388319,311,2,6,3732,3.842051388,28.75913981,41.33690904,18.59233491,0.884981375,0.883883252,0.789650766,0.980560545,1.460169318,20.83731963
6993710,8.53838216,53.44705418,0.821788848,0.76320133,276,2,7,3864,1.47863404,36.153507,18.76855949,12.18087633,0.919476857,0.724488995,0.718105625,0.77413097,2.453164348,11.18330924
8393974,3.456943326,82.12437311,0.829353888,0.749097858,315,3,6,5670,3.924379486,29.50977059,17.98169804,26.07372525,0.866609065,0.915760533,0.768536422,0.998900175,3.772925181,7.437505681
5322466,3.628626243,86.43845453,0.587096668,0.980390276,298,3,8,7152,3.303171664,25.14534646,31.73202093,19.12753934,0.82477221,0.953873588,0.888629445,0.92060509,2.516755314,1.793793164
4391538,7.802061283,56.36686002,0.936711619,0.950350932,301,2,7,4214,1.631986567,28.68899751,35.2624088,11.18999902,0.826516278,0.783048339,0.877705099,0.973709004,0.981325714,2.710795082
5968462,7.726599717,92.26776426,0.589841554,0.618771662,302,2,7,4228,1.741693223,36.12249704,27.8122102,11.65037793,0.991418528,0.754293086,0.956315528,0.847683357,1.873472523,3.925823927
7919799,2.762092064,70.43047587,0.656074028,0.699522973,308,2,7,4312,2.189979329,17.11083571,19.38696153,19.45695903,0.957395876,0.702709121,0.87652379,0.879614194,6.674711057,11.15668044
6853321,4.647114904,53.14609378,0.834695201,0.572878284,272,3,7,5712,2.077752244,21.3807577,34.22152631,14.47360286,0.834830151,0.876365311,0.984575006,0.775758335,2.358108116,7.100912082
8425838,8.254322639,74.9577755,0.723184323,0.932108089,306,3,6,5508,1.368912426,16.93392737,12.06787349,16.65637312,0.867442075,0.861971752,0.71025633,0.996007894,2.030046102,4.983844399
8716992,9.47100014,41.87326892,0.753617404,0.52078643,304,3,6,5472,3.855435356,29.17359813,44.71673178,18.10244155,0.74450296,0.995989037,0.989535609,0.701481994,2.099398874,15.93960034
9935774,4.741227905,60.24082405,0.562870756,0.566357327,316,2,7,4424,1.565047251,31.92488425,16.24655379,13.72122983,0.743062709,0.981945938,0.919869676,0.748714568,7.99382368,11.12978534
3800101,4.042452198,71.23874978,0.989315644,0.687148384,274,2,7,3836,3.305558094,13.39329457,41.82041487,24.55092062,0.705254797,0.773244187,0.949263157,0.959382651,1.87476909,5.879509668
6045315,9.527002851,85.28130512,0.833485758,0.788592618,302,2,8,4832,3.599316003,39.80010812,40.0971105,15.81198811,0.8045721,0.747786234,0.881486177,0.795433466,1.357652879,4.675131879
5739956,2.872877054,70.29349006,0.882595432,0.962837415,282,2,6,3384,3.606701877,21.27016756,21.87477098,25.06674468,0.831451704,0.970412695,0.963367348,0.795158715,5.105664432,7.042463756
5736582,7.041669987,66.83570347,0.781719464,0.690209852,294,2,8,4704,1.044001171,27.61185123,16.73777541,11.01103066,0.864549916,0.878945642,0.863706067,0.833325836,1.730708625,3.834423761
4502025,5.038286241,88.38336021,0.759540893,0.739590939,271,3,6,4878,2.740517108,26.0080764,34.31620371,16.11395019,0.70769262,0.802374348,0.814058686,0.819646834,2.482792983,3.541320803
8202863,7.74498461,96.21951416,0.509116291,0.597888993,292,3,7,6132,3.781103634,11.80802171,47.37744107,29.00137575,0.702268862,0.894242414,0.969409165,0.773044689,3.133618855,8.385905454
3258517,5.886974073,36.82600826,0.642436451,0.653644982,288,3,7,6048,3.148452023,18.17872002,26.54196406,22.50896242,0.940907769,0.861748383,0.79339231,0.883100135,1.050452615,6.953563833
6403096,7.448942832,30.42225955,0.762581692,0.854523131,299,2,8,4784,2.45063694,34.17977649,32.00906169,13.89555035,0.732063077,0.870193666,0.776968835,0.988878063,2.036378625,8.916939056
4906039,9.611226738,66.13700471,0.90959443,0.942103232,314,3,8,7536,3.519583909,37.0006937,24.13685517,19.45639632,0.768423932,0.763613452,0.883294297,0.823308541,0.647783841,3.050609591
5329753,7.855664541,87.34981217,0.835712335,0.904764988,296,2,7,4144,1.705706754,36.07778874,28.91567863,11.37605458,0.929996841,0.74491119,0.827183444,0.74589514,1.659671201,3.35672595
3866964,7.135772004,66.60299307,0.773348706,0.615973548,286,3,6,5148,1.409319258,30.85433662,26.17275072,10.97140112,0.817271799,0.878342901,0.849030058,0.996335656,0.957096126,2.253013507
4998197,2.126568734,43.99265208,0.909353529,0.801609705,308,2,6,3696,2.935869513,27.87252185,26.04751656,18.08264645,0.80116814,0.971657438,0.931786818,0.779468634,5.842058449,8.18824174
3403322,2.555390742,59.12008223,0.533806282,0.900178254,275,2,8,4400,2.59887336,19.73001259,23.32007652,19.58992599,0.770113625,0.862003574,0.964023726,0.895263211,4.147168178,3.189266708
9520645,4.903554175,99.61584171,0.723176176,0.666784775,271,2,7,3794,3.26451346,15.11433815,26.37911412,25.38449434,0.874142502,0.726630218,0.988499721,0.890488014,4.470567322,12.49465153
6496605,4.406824867,98.40509182,0.737443272,0.69126314,285,3,6,5130,3.305799414,17.30970148,36.86233774,21.83954997,0.735948701,0.992249389,0.706007907,0.921154068,3.957863882,5.250587328
7863059,8.303215906,88.49832632,0.804243206,0.753419216,275,3,7,5775,2.025023506,21.42728577,23.85287074,15.76419166,0.747791206,0.71893271,0.735294709,0.76820719,2.346503465,6.605872761
6324664,8.602288866,38.77480077,0.97119351,0.936668331,278,2,8,4448,2.173128289,25.03458998,25.8871511,15.24507445,0.748529263,0.935882787,0.872376215,0.869972609,1.456365075,7.002525787
5878117,7.394430451,60.26090137,0.860711034,0.570639025,287,2,8,4592,1.461373449,16.70843303,48.29291552,12.0634306,0.763594747,0.945620501,0.796758393,0.706868147,2.273431139,7.026626996
6332049,3.060197382,88.27123099,0.961378595,0.743530959,279,2,7,3906,2.195989083,14.39121976,24.70137689,19.48962609,0.881875881,0.92944294,0.752451588,0.850769823,4.744665313,6.742216224
4809377,9.704920893,61.71001055,0.982911081,0.716248939,273,2,8,4368,2.922478944,16.48114548,34.7835182,20.6804981,0.79354484,0.851842559,0.831853507,0.731699405,1.161674574,8.279944788
9515350,6.515528725,31.30150873,0.605877675,0.742300794,288,2,8,4608,1.511994276,12.23889443,41.30784163,14.60859103,0.926276063,0.885849325,0.789206514,0.829101153,4.19541193,18.66535038
9169458,6.075377025,99.71923258,0.906985135,0.807609719,276,3,6,4968,1.39213113,36.59812646,27.99138595,10.26635518,0.791876086,0.887168751,0.858112439,0.827825015,2.894571298,3.111198163
8425148,5.31303802,85.34072112,0.86680719,0.884652447,304,2,8,4864,1.779439626,32.80869469,15.48438823,15.14930806,0.703309379,0.824846199,0.844403245,0.705757683,4.362165851,5.892343356
3660902,2.096966197,35.5021239,0.987936877,0.900768556,274,2,6,3288,2.363132004,35.33071248,13.92330323,19.1966606,0.987872993,0.846356213,0.73292086,0.864387847,4.174499069,10.38757712
4059325,5.808145035,46.95050424,0.697238139,0.729723384,273,3,7,5733,1.946220687,30.64404118,27.50412496,13.05629736,0.935504963,0.967625407,0.986600406,0.936071016,0.983767923,2.516255823
6282972,2.307410792,91.64976933,0.730738732,0.818600738,302,3,7,6342,1.199956122,25.55224066,16.00676003,12.31558884,0.897806177,0.968535322,0.891000905,0.884180075,4.038182382,1.776130944
7748703,7.441822234,18.54219655,0.542396008,0.858161694,313,2,8,5008,3.212525078,20.59754226,21.86142325,23.17495526,0.721625301,0.721377018,0.703632543,0.986950419,3.718360236,37.4859475
3403082,8.270741414,45.16151562,0.706065465,0.774808022,284,2,8,4544,2.54397276,36.96702472,41.29939698,12.8249393,0.949160337,0.72061385,0.827289066,0.724785299,1.095403147,5.293906682
8497191,7.338803184,15.88635445,0.627706742,0.63035665,294,2,7,4116,1.96664651,13.75700711,28.9734444,17.65001232,0.720776292,0.987947955,0.843476588,0.968744379,3.698884806,37.56097863
5900737,6.166145135,67.40247679,0.578319218,0.521867813,282,2,8,4512,2.650275821,21.65958396,16.54735206,21.95141353,0.733242389,0.879559473,0.72850351,0.812797867,4.106100554,13.05878078
4519603,7.407858205,57.16406629,0.506357445,0.9962077,299,3,6,5382,2.632049738,29.08212291,18.84253486,18.811439,0.90143648,0.795076743,0.963780598,0.777529486,1.611061449,3.879897584
3866183,8.211579572,70.7737562,0.588714385,0.772513459,315,3,7,6615,1.39518632,31.7793973,42.71141319,9.594058929,0.995400922,0.98121642,0.712952121,0.749444445,1.104991417,1.630162041
